Name;G;ITW;IOW;A;CWP;CRP;CUP;BPR;P;C;TRP;WP;RP;UP
heli1;heli;0;0;50;0;0;0;2700;0;2880;10;120;40;480
heli2;heli;0;0;50;0;0;0;2700;0;2880;10;120;40;480
heli3;heli;0;0;50;0;0;0;2700;0;2880;10;120;40;480
heli4;heli;0;0;50;0;0;0;2700;0;2880;10;120;40;480
heli5;heli;0;0;50;0;0;0;2700;0;2880;10;120;40;480
avi1;avi;0;0;100;0;0;0;3600;0;3120;10;120;40;480
avi2;avi;0;0;100;0;0;0;3600;0;3120;10;120;40;480
maqui1;maqui;0;0;120;0;0;0;2700;0;48;0;480;0;480
maqui2;maqui;0;0;120;0;0;0;2700;0;48;0;480;0;480
maqui3;maqui;0;0;120;0;0;0;2700;0;48;0;480;0;480
maqui4;maqui;0;0;120;0;0;0;2700;0;48;0;480;0;480
auto1;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto2;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto3;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto4;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto5;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto6;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto7;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto8;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto9;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
auto10;auto;0;0;50;0;0;0;1080;0;47;0;480;0;480
7bri1;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri2;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri3;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri4;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri5;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri6;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri7;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri8;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri9;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
7bri10;7bri;0;0;20;0;0;0;360;0;97;0;480;0;480
12bri1;12bri;0;0;70;0;0;0;600;0;181;0;480;0;480
12bri2;12bri;0;0;70;0;0;0;600;0;181;0;480;0;480
12bri3;12bri;0;0;70;0;0;0;600;0;181;0;480;0;480
12bri4;12bri;0;0;70;0;0;0;600;0;181;0;480;0;480
12bri5;12bri;0;0;70;0;0;0;600;0;181;0;480;0;480
