iter;num_air;num_per;cost_e;cost_h;cost_prop;time_e;time_h;time_prop;status_e;status_h
1;5;5;9252.101198;9252.101198;1;0.252723932;0.062741995;4.027986882;OPTIMAL;OPTIMAL
2;5;5;8005.894724;NA;NA;0.375202894;1.088058949;0.344836918;OPTIMAL;INFEASIBLE
3;5;5;8367.101516;8517.101516;1.017927355;0.079546928;0.033938885;2.343828591;OPTIMAL;OPTIMAL
4;5;5;15174.30652;15174.30652;1;0.186672926;0.040966988;4.556667132;OPTIMAL;OPTIMAL
5;5;5;14786.27888;14936.27888;1.01014454;0.200196981;0.037286043;5.369220342;OPTIMAL;OPTIMAL
6;5;5;10155.49197;10155.49197;1;0.21944499;0.04231596;5.185868181;OPTIMAL;OPTIMAL
7;5;5;10226.72025;10226.72025;1;0.180943966;0.029422045;6.149945302;OPTIMAL;OPTIMAL
8;5;5;5970.725107;5970.725107;1;0.136475086;0.034426928;3.964195932;OPTIMAL;OPTIMAL
9;5;5;7780.284618;7780.284618;1;0.090029955;0.039415121;2.284147618;OPTIMAL;OPTIMAL
10;5;5;9731.435675;9731.435675;1;0.089706182;0.035274029;2.543122677;OPTIMAL;OPTIMAL
11;5;5;10273.60827;NA;NA;0.473320007;1.366753817;0.346309629;OPTIMAL;INFEASIBLE
12;5;5;7787.985954;6937.985954;0.890857533;0.199676037;0.030229092;6.605426295;OPTIMAL;OPTIMAL
13;5;5;9285.516068;9285.516068;1;0.282552004;0.036820173;7.673836889;OPTIMAL;OPTIMAL
14;5;5;14278.14272;14278.14272;1;0.109764814;0.115098953;0.953656061;OPTIMAL;OPTIMAL
15;5;5;14093.42336;14333.42336;1.01702922;0.159049034;0.039005041;4.077653286;OPTIMAL;OPTIMAL
16;5;5;9265.340935;9265.340935;1;0.088940144;0.040388107;2.202136954;OPTIMAL;OPTIMAL
17;5;5;9401.537226;9731.537226;1.035100643;0.078588963;0.165184975;0.475763384;OPTIMAL;OPTIMAL
18;5;5;11173.27767;11173.27767;1;0.190732002;0.043229818;4.412047276;OPTIMAL;OPTIMAL
19;5;5;6261.434342;6133.790258;0.979614242;0.097887039;0.095764875;1.022160148;OPTIMAL;OPTIMAL
20;5;5;6864.250894;6864.250894;1;0.080839157;0.03370595;2.39836461;OPTIMAL;OPTIMAL
21;5;5;6749.908655;6749.908655;1;0.139809847;0.043802023;3.191858218;OPTIMAL;OPTIMAL
22;5;5;12622.4062;12622.4062;1;0.20983696;0.037451029;5.602969169;OPTIMAL;OPTIMAL
23;5;5;6917.667109;6917.667109;1;0.076416016;0.036906004;2.070557835;OPTIMAL;OPTIMAL
24;5;5;12670.18056;12670.18056;1;0.160091162;0.104475975;1.532325127;OPTIMAL;OPTIMAL
25;5;5;5353.164779;5353.164779;1;0.084663153;0.039972067;2.118057917;OPTIMAL;OPTIMAL
26;5;5;9510.775419;9510.775419;1;0.084022999;0.036032915;2.331840167;OPTIMAL;OPTIMAL
27;5;5;7559.87224;7559.87224;1;0.070888996;0.096380949;0.735508385;OPTIMAL;OPTIMAL
28;5;5;12668.56012;11428.56012;0.902119895;0.123173952;0.041295052;2.982777534;OPTIMAL;OPTIMAL
29;5;5;7096.625173;7096.625173;1;0.084393978;0.09394598;0.898324527;OPTIMAL;OPTIMAL
30;5;5;12014.94146;NA;NA;0.143531799;0.895874023;0.160214266;OPTIMAL;INFEASIBLE
31;5;5;5489.541198;5489.541198;1;0.1999681;0.043410063;4.60649183;OPTIMAL;OPTIMAL
32;5;5;9712.071411;9712.071411;1;0.137864113;0.035190821;3.917615734;OPTIMAL;OPTIMAL
33;5;5;8455.812293;8455.812293;1;0.074607134;0.157450914;0.473843764;OPTIMAL;OPTIMAL
34;5;5;7509.738355;7509.738355;1;0.117030144;0.100852966;1.160403586;OPTIMAL;OPTIMAL
35;5;5;6720.817628;6720.817628;1;0.145334005;0.055684805;2.609940101;OPTIMAL;OPTIMAL
36;5;5;7041.326836;7041.326836;1;0.103609085;0.042793989;2.421113036;OPTIMAL;OPTIMAL
37;5;5;10706.94641;10706.94641;1;0.09293294;0.330541134;0.281153932;OPTIMAL;OPTIMAL
38;5;5;6415.99597;6415.99597;1;0.085082054;0.051565886;1.649967866;OPTIMAL;OPTIMAL
39;5;5;9864.158003;9864.158003;1;0.094108105;0.039025068;2.411478284;OPTIMAL;OPTIMAL
40;5;5;16647.75997;NA;NA;0.211108208;0.837716103;0.252004476;OPTIMAL;INFEASIBLE
41;5;5;8012.015679;8012.015679;1;0.199919939;0.045032024;4.439505924;OPTIMAL;OPTIMAL
42;5;5;6363.465077;6363.465077;1;0.081562042;0.034670115;2.352517244;OPTIMAL;OPTIMAL
43;5;5;9695.050459;9695.050459;1;0.090704918;0.089570999;1.012659441;OPTIMAL;OPTIMAL
44;5;5;7538.652713;7538.652713;1;0.093071938;0.040035009;2.324763725;OPTIMAL;OPTIMAL
45;5;5;7646.367288;7646.367288;1;0.075556993;0.036035061;2.096763309;OPTIMAL;OPTIMAL
46;5;5;7071.135387;7071.135387;1;0.09307313;0.041534185;2.240880102;OPTIMAL;OPTIMAL
47;5;5;8810.949358;8960.949358;1.017024272;0.08955884;0.037024021;2.41893876;OPTIMAL;OPTIMAL
48;5;5;7354.121072;8216.410375;1.11725253;0.157117128;0.031801939;4.940488953;OPTIMAL;OPTIMAL
